"","year","ne","ne_std"
"1",1994,Inf,NA
"2",1995,Inf,NA
"3",1996,Inf,NA
"4",1997,Inf,NA
"5",1998,Inf,NA
"6",1999,Inf,NA
"7",2000,282.048344769653,282.048344769653
"8",2001,178.338336304468,128.743831149399
"9",2002,586.896567051491,412.520917035301
"10",2003,133.083742877626,77.8654622423393
"11",2004,178.11661163087,66.4289863032081
"12",2005,414.002025018089,248.563552338529
"13",2006,640.147975554208,438.731576268828
"14",2007,414.429353318862,218.366750837356
"15",2008,187.192793439828,62.7387899480198
"16",2009,133.551092393936,53.447482360102
"17",2010,133.04622605676,29.5828132051964
"18",2011,118.74521415419,34.4750351777493
"19",2012,144.687753022105,36.8186654341214
"20",2013,150.694310668166,39.5381258740561
"21",2014,117.472076688928,28.3259400882152
"22",2015,87.9642316403886,21.4551175051764
"23",2016,74.0669365350706,15.770307232181
"24",2017,66.56988779944,12.3424287396898
"25",2018,59.6537575337869,9.9377924069069
"26",2019,62.7751675631859,10.0986174073462
"27",2020,68.1324784223363,10.5017408633408
"28",2021,68.3579461101276,9.32411950377754
"29",2022,72.2756551761078,9.818514819581
